Unit,T24,T30,T50,P15,P30,Ps30,phi,NRf,NRc,BPR,htBleed,w31,w32,RUL
1,641.82,1589.7,1400.6,21.61,554.36,47.47,521.66,2388.02,8138.62,8.4195,392,39.06,23.419,191
1,642.15,1591.82,1403.14,21.61,553.75,47.49,522.28,2388.07,8131.49,8.4318,392,39.0,23.4236,190
1,642.35,1587.99,1404.2,21.61,554.26,47.27,522.42,2388.03,8133.23,8.4178,390,38.95,23.3442,189
1,642.35,1582.79,1401.87,21.61,554.45,47.13,522.86,2388.08,8133.83,8.3682,392,38.88,23.3739,188
1,642.37,1582.85,1406.22,21.61,554.0,47.28,522.19,2388.04,8133.8,8.4294,393,38.9,23.4044,187
1,642.1,1584.47,1398.37,21.61,554.67,47.16,521.68,2388.03,8132.85,8.4108,391,38.98,23.3669,186
1,642.48,1592.32,1397.77,21.61,554.34,47.36,522.32,2388.03,8132.32,8.3974,392,39.1,23.3774,185
1,642.56,1582.96,1400.97,21.61,553.85,47.24,522.47,2388.03,8131.07,8.4076,391,38.97,23.3106,184
1,642.12,1590.98,1394.8,21.61,553.69,47.29,521.79,2388.05,8125.69,8.3728,392,39.05,23.4066,183
1,641.71,1591.24,1400.46,21.61,553.59,47.03,521.79,2388.06,8129.38,8.4286,393,38.95,23.4694,182
1,642.28,1581.75,1400.64,21.61,554.54,47.15,521.4,2388.01,8140.58,8.434,392,38.94,23.4787,181
1,642.06,1583.41,1400.15,21.61,554.52,47.18,521.8,2388.02,8134.25,8.3938,391,39.06,23.366,180
1,643.07,1582.19,1400.83,21.61,553.44,47.38,521.85,2388.08,8128.1,8.4152,393,38.93,23.2757,179
1,642.35,1592.95,1399.16,21.61,554.48,47.44,521.67,2388.0,8134.43,8.3964,393,39.18,23.3826,178
1,642.43,1583.82,1402.13,21.61,553.64,47.3,522.5,2388.08,8127.56,8.4199,391,38.99,23.35,177
1,642.13,1587.98,1404.5,21.61,553.94,47.24,521.49,2388.07,8136.11,8.3936,392,38.97,23.455,176
1,642.58,1584.96,1399.95,21.61,553.8,47.12,521.89,2388.04,8137.27,8.4542,392,38.81,23.3319,175
1,642.62,1591.04,1396.12,21.61,554.2,47.21,521.76,2388.07,8132.73,8.4028,392,38.89,23.3987,174
1,641.79,1587.56,1400.35,21.61,554.18,47.4,521.89,2388.03,8129.13,8.4321,391,38.8,23.3464,173
1,643.04,1581.11,1405.23,21.61,554.81,47.22,522.07,2388.02,8129.71,8.421,392,39.03,23.422,172
1,642.37,1586.07,1398.13,21.61,554.08,47.15,522.42,2388.08,8134.02,8.4049,392,39.09,23.3101,171
1,642.77,1592.93,1400.57,21.61,553.63,47.24,522.0,2388.03,8130.41,8.4034,392,38.92,23.3792,170
1,642.14,1588.19,1394.75,21.61,553.98,47.25,521.52,2388.05,8127.9,8.424,392,38.94,23.4562,169
1,642.38,1590.83,1398.81,21.61,553.49,47.44,522.13,2388.03,8133.88,8.3891,392,39.0,23.3696,168
1,642.77,1594.1,1399.39,21.61,554.0,47.36,522.56,2388.02,8136.61,8.3917,393,38.95,23.4288,167
1,642.16,1589.08,1396.07,21.61,554.11,47.26,522.28,2388.06,8131.15,8.426,394,38.86,23.4149,166
1,642.44,1590.47,1401.84,21.61,554.07,47.37,522.0,2388.13,8134.6,8.4046,393,38.99,23.4472,165
1,642.35,1582.84,1399.13,21.61,554.68,47.41,522.57,2388.08,8127.3,8.4323,390,39.01,23.2841,164
